#Tensor product hilbert space dimension: 8; Number of simulations: 10;
#separable states were read from: /home/julio/Documents/my_projects/TFM/code/entanglement_2x2x2/input_data/100k/separable.txt; Bipartitely entangled states were read from: /home/julio/Documents/my_projects/TFM/code/entanglement_2x2x2/input_data/100k/bipartite_entanglement.txt;
#Architecture of the MLP: [256, 128, 64, 32, 16, 1]; Number of epochs: 100; Fraction of DMs used for training: 0.75;
#Activation function in the hidden layers: relu; Activation function in the output layer: sigmoid; Loss function: binary_crossentropy;
#Optimizer: Adam; Batch size: 40; Test tolerance: 0.5;
#Sucess rate averaged over every simulation and over every sample in the test set: 95.573%
#Sample standard deviation for averaged success rate: 0.062444802986317494%
#Same average success rate for supplementary tests: [0.8725649999999998, 0.9868069999999999]% [GHZ, W]
#Sample STD for averaged success rate in supplementary tests: [0.0006028350552804651, 9.072884742462948e-05]%
#Epoch	Loss	Loss sample STD	Val. Loss	V.L. sample STD
1	0.672076	0.001537	0.622610	0.003427
2	0.544910	0.008390	0.458753	0.014905
3	0.397547	0.015512	0.361692	0.017928
4	0.327957	0.016913	0.321555	0.018662
5	0.285887	0.016977	0.287403	0.018629
6	0.256166	0.016109	0.262187	0.015044
7	0.233141	0.015108	0.242661	0.016120
8	0.214344	0.014274	0.224770	0.015081
9	0.198278	0.013218	0.208632	0.013636
10	0.184576	0.012139	0.198317	0.012667
11	0.172987	0.010901	0.195597	0.010519
12	0.163800	0.009843	0.184890	0.009739
13	0.155741	0.009031	0.179336	0.009753
14	0.148492	0.008236	0.168016	0.008736
15	0.142499	0.007766	0.167893	0.007482
16	0.137132	0.007149	0.169262	0.008642
17	0.132024	0.006876	0.160388	0.007090
18	0.127490	0.006543	0.157120	0.006778
19	0.123117	0.006208	0.154006	0.006117
20	0.119109	0.005847	0.151230	0.005597
21	0.115723	0.005784	0.155722	0.005698
22	0.112525	0.005548	0.147863	0.005783
23	0.109498	0.005285	0.150260	0.005369
24	0.106351	0.005199	0.147869	0.005176
25	0.103447	0.005072	0.152061	0.005490
26	0.100660	0.004923	0.151309	0.005548
27	0.098443	0.004842	0.148853	0.005130
28	0.096240	0.004631	0.146131	0.004662
29	0.093677	0.004575	0.146860	0.004743
30	0.091431	0.004556	0.147268	0.005037
31	0.089376	0.004501	0.150374	0.004963
32	0.087479	0.004283	0.150246	0.005033
33	0.085413	0.004137	0.145646	0.003937
34	0.085419	0.004174	0.147579	0.004635
35	0.083735	0.004305	0.152525	0.004866
36	0.079815	0.003866	0.146800	0.004776
37	0.077436	0.003746	0.149503	0.003395
38	0.077564	0.003963	0.144655	0.003692
39	0.075836	0.003888	0.149699	0.004352
40	0.074203	0.003688	0.148900	0.003533
41	0.074411	0.003717	0.146787	0.003903
42	0.073675	0.003915	0.155233	0.005540
43	0.071874	0.004419	0.151204	0.005797
44	0.070082	0.004297	0.154374	0.005031
45	0.072201	0.003877	0.152069	0.006903
46	0.070565	0.005115	0.157480	0.003945
47	0.069642	0.005109	0.159011	0.007058
48	0.067770	0.004745	0.159311	0.007693
49	0.064918	0.007109	0.153647	0.009465
50	0.053635	0.000000	0.157784	0.000000
51	0.052744	0.000000	0.145731	0.000000
