#Tensor product hilbert space dimension: 8; Number of simulations: 1;
#separable states were read from: /home/julio/Documents/my_projects/TFM/code/entanglement_2x2x2/input_data/100k/separable.txt; GHZ states were read from: /home/julio/Documents/my_projects/TFM/code/entanglement_2x2x2/input_data/100k/GHZ.txt;
#Architecture of the MLP: [256, 128, 64, 32, 16, 1]; Number of epochs: 100; Fraction of DMs used for training: 0.5;
#Activation function in the hidden layers: relu; Activation function in the output layer: sigmoid; Loss function: binary_crossentropy;
#Optimizer: Adam; Batch size: 40; Test tolerance: 0.5;
#Sucess rate averaged over every simulation and over every sample in the test set: 86.886%
#Sample standard deviation for averaged success rate: 0.1067437587871066%
#Epoch	Loss	Loss sample STD	Val. Loss	V.L. sample STD
1	0.693265	0.000000	0.693161	0.000000
2	0.686242	0.000000	0.671593	0.000000
3	0.650109	0.000000	0.637226	0.000000
4	0.615369	0.000000	0.592803	0.000000
5	0.558692	0.000000	0.555682	0.000000
6	0.520671	0.000000	0.529379	0.000000
7	0.497319	0.000000	0.522428	0.000000
8	0.479974	0.000000	0.496591	0.000000
9	0.465876	0.000000	0.494948	0.000000
10	0.452657	0.000000	0.486206	0.000000
11	0.441209	0.000000	0.478742	0.000000
12	0.429167	0.000000	0.463502	0.000000
13	0.415519	0.000000	0.451125	0.000000
14	0.402462	0.000000	0.443592	0.000000
15	0.391394	0.000000	0.426353	0.000000
16	0.380614	0.000000	0.414703	0.000000
17	0.371869	0.000000	0.417196	0.000000
18	0.360990	0.000000	0.404943	0.000000
19	0.352402	0.000000	0.402445	0.000000
20	0.346447	0.000000	0.386005	0.000000
21	0.338556	0.000000	0.387302	0.000000
22	0.330787	0.000000	0.383029	0.000000
23	0.324485	0.000000	0.386902	0.000000
24	0.319451	0.000000	0.384713	0.000000
25	0.311900	0.000000	0.376395	0.000000
26	0.307373	0.000000	0.372835	0.000000
27	0.301730	0.000000	0.359224	0.000000
28	0.295487	0.000000	0.376901	0.000000
29	0.290908	0.000000	0.359413	0.000000
30	0.286423	0.000000	0.361680	0.000000
31	0.281577	0.000000	0.351355	0.000000
32	0.276415	0.000000	0.345496	0.000000
33	0.271890	0.000000	0.344585	0.000000
34	0.268702	0.000000	0.354285	0.000000
35	0.264082	0.000000	0.351651	0.000000
36	0.260401	0.000000	0.357397	0.000000
37	0.255564	0.000000	0.341930	0.000000
38	0.252471	0.000000	0.329797	0.000000
39	0.249168	0.000000	0.359239	0.000000
40	0.245156	0.000000	0.326851	0.000000
41	0.241384	0.000000	0.341366	0.000000
42	0.239055	0.000000	0.341612	0.000000
43	0.233932	0.000000	0.345348	0.000000
44	0.231967	0.000000	0.332298	0.000000
45	0.230073	0.000000	0.331822	0.000000
46	0.226485	0.000000	0.336366	0.000000
47	0.223785	0.000000	0.333839	0.000000
48	0.220921	0.000000	0.338796	0.000000
49	0.218185	0.000000	0.340779	0.000000
50	0.214299	0.000000	0.357487	0.000000
51	0.211722	0.000000	0.341662	0.000000
52	0.209162	0.000000	0.345058	0.000000
53	0.207457	0.000000	0.333596	0.000000
54	0.205917	0.000000	0.337472	0.000000
55	0.203481	0.000000	0.340824	0.000000
